Regiao,VendasOnline,VendasOffline,Lucro,Clientes,Data
Norte,171,154,91.46,39,2025-01-01
Sul,166,591,185.01,74,2025-01-01
Leste,290,264,160.73,59,2025-01-01
Oeste,412,259,161.35,59,2025-01-01
Norte,122,507,140.13,67,2025-01-02
Sul,100,223,82.65,30,2025-01-02
Leste,389,443,238.81,90,2025-01-02
Oeste,492,196,218.12,71,2025-01-02
Norte,212,472,160.8,77,2025-01-03
Sul,338,513,232.51,88,2025-01-03
Leste,327,265,147.02,55,2025-01-03
Oeste,316,322,146.04,59,2025-01-03
Norte,305,290,195.67,68,2025-01-04
Sul,316,417,191.71,64,2025-01-04
Leste,242,278,107.45,54,2025-01-04
Oeste,406,419,210.89,86,2025-01-04
Norte,477,480,289.52,101,2025-01-05
Sul,144,266,87.09,48,2025-01-05
Leste,467,232,178.57,59,2025-01-05
Oeste,375,401,208.52,71,2025-01-05
Norte,455,335,234.13,72,2025-01-06
Sul,468,299,266.69,68,2025-01-06
Leste,389,167,151.1,55,2025-01-06
Oeste,227,206,130.91,48,2025-01-06
Norte,134,228,96.67,45,2025-01-07
Sul,169,235,93.93,46,2025-01-07
Leste,417,276,201.23,66,2025-01-07
Oeste,450,499,254.67,92,2025-01-07
Norte,399,460,245.43,78,2025-01-08
Sul,338,198,108.9,46,2025-01-08
Leste,271,205,166.72,51,2025-01-08
Oeste,228,588,201.13,73,2025-01-08
Norte,214,199,109.11,33,2025-01-09
Sul,478,226,218.08,71,2025-01-09
Leste,246,467,169.16,67,2025-01-09
Oeste,440,363,213.67,71,2025-01-09
Norte,135,572,183.1,68,2025-01-10
Sul,163,163,78.16,23,2025-01-10
Leste,385,413,181.11,70,2025-01-10
Oeste,141,558,177.68,62,2025-01-10
Norte,193,391,144.54,53,2025-01-11
Sul,297,296,145.17,65,2025-01-11
Leste,176,463,178.44,62,2025-01-11
Oeste,375,547,209.32,100,2025-01-11
Norte,148,194,102.6,42,2025-01-12
Sul,186,444,143.2,64,2025-01-12
Leste,418,457,209.03,78,2025-01-12
Oeste,228,207,149.93,39,2025-01-12
Norte,294,498,217.99,79,2025-01-13
Sul,393,270,189.59,73,2025-01-13
Leste,241,351,152.41,68,2025-01-13
Oeste,195,260,126.74,38,2025-01-13
Norte,278,314,172.76,54,2025-01-14
Sul,489,348,259.62,79,2025-01-14
Leste,343,480,197.14,75,2025-01-14
Oeste,453,273,185.9,67,2025-01-14
Norte,301,262,143.07,57,2025-01-15
Sul,438,435,236.96,83,2025-01-15
Leste,313,423,211.48,71,2025-01-15
Oeste,430,198,156.64,56,2025-01-15
Norte,185,190,102.6,34,2025-01-16
Sul,289,440,200.98,81,2025-01-16
Leste,207,321,132.56,59,2025-01-16
